gasoline,4,34,30,Weirton,West Virginia,11500342,50,Audi,A4,2011
gasoline,4,36,26,Weirton,West Virginia,11500342,34,Toyota,Camry,2012
gasoline,5,6,4,Weirton,West Virginia,11500342,94,Audi,A6,2016
gasoline,4,84,71,Jersey City,New Jersey,11629547,37,smart,fortwo,2015
gasoline,4,45,44,West Windsor Township,New Jersey,10841398,70,Chevrolet,Equinox,2018
electric,4,17,15,West Windsor Township,New Jersey,5646197,80,Volkswagen,E-Golf,2019
gasoline,5,4,3,Pennsauken Township,New Jersey,10172877,45,Chevrolet,Cruze,2015
gasoline,5,3,3,Matawan,New Jersey,1055513,78,Volkswagen,Atlas,2018
hybrid,5,17,15,Audubon,New Jersey,1806993,33,Toyota,Prius,2008
gasoline,5,1,1,Pennsauken Township,New Jersey,10172877,55,Ford,Fusion,2013
gasoline,5,40,36,West Windsor Township,New Jersey,10841398,112,BMW,X2,2019
hybrid,4,40,34,Jersey City,New Jersey,3533385,425,BMW,I8,2019
gasoline,5,12,11,Pemberton,New Jersey,3516498,170,GMC,Savana,2010
gasoline,5,41,38,West Windsor Township,New Jersey,10841398,128,BMW,4-Series,2019
gasoline,5,2,1,Pennsauken Township,New Jersey,10172877,72,Chrysler,Town and Country,2013
gasoline,4,15,14,East Windsor,New Jersey,9777278,149,Jaguar,F-PACE,2018
electric,5,2,2,Harrison Township,New Jersey,687663,275,Tesla,Model X,2017
electric,5,5,4,Voorhees Township,New Jersey,5450119,185,Tesla,Model 3,2020
electric,4,44,42,Somerdale,New Jersey,309262,200,Tesla,Model 3,2019
electric,5,6,5,Westampton,New Jersey,10382339,116,Tesla,Model S,2013
electric,5,4,4,Mount Laurel Township,New Jersey,4261256,334,Tesla,Model X,2016
electric,5,1,1,Mount Laurel Township,New Jersey,4261256,209,Tesla,Model S,2016
gasoline,4,90,75,Jersey City,New Jersey,2110510,79,Jeep,Wrangler,2018
gasoline,5,4,3,Guttenberg,New Jersey,1495380,72,Lincoln,MKX,2016
gasoline,4,141,129,Jersey City,New Jersey,2611541,99,Ford,Mustang,2015
gasoline,5,5,5,Montclair,New Jersey,9218610,110,Jeep,Wrangler Unlimited,2020
gasoline,5,4,3,Aberdeen Township,New Jersey,15396392,95,Mercedes-Benz,E-Class,2014
gasoline,5,59,50,Jersey City,New Jersey,67096,64,Mazda,3,2016
gasoline,4,16,14,Montclair,New Jersey,9218610,104,Jeep,Wrangler Unlimited,2019
gasoline,5,12,10,Jersey City,New Jersey,67096,76,Honda,HR-V,2017
gasoline,5,17,15,Jersey City,New Jersey,67096,74,Toyota,RAV4,2017
electric,5,1,1,Mount Olive Township,New Jersey,15617026,200,Tesla,Model Y,2020
gasoline,5,77,74,Aberdeen Township,New Jersey,4021066,149,Chevrolet,Corvette,2009
gasoline,4,60,55,Jersey City,New Jersey,2110510,89,Chrysler,Pacifica,2018
gasoline,5,3,3,Jersey City,New Jersey,5019852,49,Chevrolet,Malibu,2018
gasoline,5,16,12,Seaside Park,New Jersey,10144963,180,BMW,M-Series,2019
gasoline,4,10,9,Secaucus,New Jersey,5139532,165,Land Rover,Discovery Sport,2018
gasoline,5,6,5,Lyndhurst,New Jersey,2407657,87,Toyota,Sienna,2011
gasoline,4,73,65,Jersey City,New Jersey,67096,74,Honda,Accord,2017
gasoline,4,70,65,Jersey City,New Jersey,2110510,79,BMW,3 Series,2018
gasoline,4,42,35,Jersey City,New Jersey,7825483,283,Porsche,Boxster,2014
gasoline,5,41,37,Jersey City,New Jersey,67096,76,Honda,HR-V,2016
gasoline,5,21,19,Jersey City,New Jersey,67096,76,Mazda,CX-5,2015
gasoline,4,7,6,Elizabeth,New Jersey,405910,65,Chevrolet,Equinox,2019
gasoline,4,7,8,West Orange,New Jersey,10452226,55,Mercedes-Benz,E-Class,2016
gasoline,4,29,24,Newark,New Jersey,3619049,68,Chevrolet,Impala,2019
gasoline,4,23,23,West Orange,New Jersey,10452226,69,BMW,3 Series,2018
hybrid,4,40,39,Jersey City,New Jersey,323975,320,BMW,i8,2015
gasoline,5,48,41,Jersey City,New Jersey,67096,77,Honda,CR-V,2016
hybrid,3,5,3,Jersey City,New Jersey,3533385,140,Porsche,Cayenne,2013
gasoline,4,12,12,Woodland Park,New Jersey,14433354,148,BMW,3 Series,2015
gasoline,5,6,5,West Orange,New Jersey,10452226,69,BMW,3 Series,2017
gasoline,5,9,8,Jersey City,New Jersey,3533385,78,Toyota,RAV4,2014
gasoline,4,15,13,Newark,New Jersey,3619049,72,Hyundai,Sonata,2015
gasoline,5,45,42,Newark,New Jersey,6821835,250,Toyota,Supra,2020
gasoline,5,9,9,Union,New Jersey,1527050,545,Chevrolet,Corvette,2020
gasoline,4,32,30,Kearny,New Jersey,9370336,99,Toyota,Highlander,2017
gasoline,4,54,41,Jersey City,New Jersey,7825483,349,Maserati,Ghibli,2015
gasoline,4,64,56,Hillside,New Jersey,2421007,85,Nissan,Rogue,2019
gasoline,5,5,5,Jersey City,New Jersey,3533385,160,BMW,5-Series,2019
gasoline,4,15,14,Jersey City,New Jersey,747774,86,Dodge,Ram 1500,2019
gasoline,5,14,13,Elizabeth,New Jersey,8497550,125,Infiniti,Q50,2015
gasoline,5,31,28,Linden,New Jersey,3644270,83,Toyota,Sienna,2015
gasoline,5,12,9,Fair Lawn,New Jersey,1319433,299,BMW,M-Series,2020
gasoline,5,1,1,Lincoln Park,New Jersey,15729829,65,Jeep,Cherokee,2017
gasoline,4,16,13,Jersey City,New Jersey,844760,217,HUMMER,H2,2008
gasoline,4,95,79,Jersey City,New Jersey,2110510,89,Audi,Q3,2018
gasoline,4,16,13,Newark,New Jersey,10471342,110,Kia,Stinger,2019
gasoline,4,63,59,Alpine,New Jersey,706133,138,BMW,M-Series,2019
gasoline,5,29,25,Lodi,New Jersey,5125492,249,Maserati,Levante,2018
gasoline,4,64,54,Jersey City,New Jersey,875927,142,Mercedes-Benz,C-Class,2018
gasoline,4,37,32,Jersey City,New Jersey,844760,119,Toyota,Sequoia,2013
electric,5,1,1,Franklin Township,New Jersey,2358826,120,Tesla,Model 3,2019
gasoline,4,7,6,South River,New Jersey,8405506,74,Cadillac,CTS,2015
electric,5,43,39,Jersey City,New Jersey,875927,150,Tesla,Model 3,2019
electric,4,36,28,Jersey City,New Jersey,875927,148,Tesla,Model 3,2019
gasoline,4,297,262,Jersey City,New Jersey,67096,60,Mazda,3,2012
gasoline,5,45,41,Aberdeen Township,New Jersey,4021066,94,Volvo,S90,2018
electric,5,4,4,Summit,New Jersey,9705007,133,Tesla,Model Y,2020
electric,4,60,55,Jersey City,New Jersey,875927,148,Tesla,Model 3,2019
gasoline,4,15,14,Bayonne,New Jersey,4881570,155,Mercedes-benz,E-Class,2019
gasoline,4,98,92,Jersey City,New Jersey,67096,76,Nissan,Rogue,2017
electric,5,44,40,Edgewater,New Jersey,1367019,188,Tesla,Model 3,2018
gasoline,4,25,24,Secaucus,New Jersey,13369196,96,Mercedes-Benz,CLA-Class,2014
gasoline,4,71,63,Jersey City,New Jersey,2110510,110,BMW,X5,2019
gasoline,5,16,14,Fair Lawn,New Jersey,2123567,189,Mercedes-Benz,C-Class,2017
gasoline,5,28,27,East Brunswick,New Jersey,2561238,175,Jaguar,F-TYPE,2018
gasoline,5,11,11,Roselle Park,New Jersey,6566502,199,Jeep,Grand Cherokee SRT,2017
gasoline,4,112,107,Jersey City,New Jersey,2110510,95,Alfa Romeo,Giulia,2017
electric,5,11,10,Edgewater,New Jersey,10514891,101,Tesla,Model S,2016
gasoline,4,41,36,Old Bridge Township,New Jersey,4998472,75,Lexus,GX 470,2007
gasoline,5,100,85,Hoboken,New Jersey,1275890,127,Honda,Odyssey,2014
gasoline,4,6,5,Jersey City,New Jersey,9292230,74,Honda,Accord,2018
gasoline,5,116,107,Newark,New Jersey,6821835,300,Nissan,GT-R,2013
gasoline,5,12,11,Jersey City,New Jersey,9450147,74,Toyota,Camry,2017
gasoline,5,11,11,Piscataway,New Jersey,1556482,70,Toyota,RAV4,2016
gasoline,4,35,35,Newark,New Jersey,462368,150,BMW,M4,2016
gasoline,5,6,5,West Orange,New Jersey,10452226,69,Mercedes-Benz,C-Class,2017
gasoline,5,7,7,Lodi,New Jersey,15013442,175,Porsche,Macan,2018
electric,5,53,49,Lodi,New Jersey,1260284,250,Tesla,Model X,2017
gasoline,4,44,35,Jersey City,New Jersey,9606481,139,Jeep,Wrangler,2016
gasoline,4,85,68,Jersey City,New Jersey,2110510,109,Ford,F-150,2018
gasoline,5,46,42,West Orange,New Jersey,10452226,69,Ford,Mustang,2019
gasoline,4,160,140,Jersey City,New Jersey,67096,70,Toyota,Camry,2016
gasoline,5,5,4,Rutherford,New Jersey,5227587,89,Land Rover,Range Rover Evoque,2017
